M-user	Temperature	Preference	WaterSoftness
No	Low	M	Medium
No	Low	M	Medium
No	Low	M	Medium
No	Low	M	Medium
No	Low	M	Medium
No	Low	M	Medium
No	Low	M	Medium
No	Low	M	Medium
No	Low	M	Medium
No	Low	M	Medium
No	Low	M	Medium
No	Low	M	Medium
No	Low	M	Medium
No	Low	M	Medium
No	Low	M	Medium
No	Low	M	Medium
No	Low	M	Medium
No	Low	M	Medium
No	Low	M	Medium
No	Low	X	Soft
No	Low	X	Soft
No	Low	X	Soft
No	Low	X	Soft
No	Low	X	Soft
No	Low	X	Soft
No	Low	X	Soft
No	Low	X	Soft
No	Low	X	Soft
No	Low	X	Soft
No	Low	X	Soft
No	Low	X	Soft
No	Low	X	Soft
No	Low	X	Soft
No	Low	X	Soft
No	Low	X	Soft
No	Low	X	Soft
No	Low	X	Soft
No	Low	X	Soft
No	Low	X	Soft
No	Low	X	Soft
No	Low	X	Soft
No	Low	X	Soft
No	Low	X	Soft
No	Low	X	Soft
No	Low	X	Soft
No	Low	X	Soft
No	Low	X	Soft
No	Low	X	Soft
No	Low	X	Soft
No	Low	X	Soft
No	Low	X	Soft
No	Low	X	Soft
No	Low	X	Soft
No	Low	X	Soft
No	Low	X	Soft
No	Low	X	Soft
No	Low	X	Soft
No	Low	X	Soft
No	Low	X	Soft
No	Low	X	Soft
No	Low	X	Soft
No	Low	X	Soft
No	Low	X	Soft
No	Low	X	Soft
No	Low	X	Soft
No	Low	X	Soft
No	Low	X	Soft
No	Low	X	Soft
No	Low	X	Soft
No	Low	X	Soft
No	Low	X	Soft
No	Low	X	Soft
No	Low	X	Soft
No	Low	X	Soft
No	Low	X	Soft
No	Low	X	Soft
No	Low	X	Soft
No	Low	X	Soft
No	Low	X	Soft
No	Low	X	Soft
No	Low	X	Soft
No	Low	X	Soft
No	Low	M	Soft
No	Low	M	Soft
No	Low	M	Soft
No	Low	M	Soft
No	Low	M	Soft
No	Low	M	Soft
No	Low	M	Soft
No	Low	M	Soft
No	Low	M	Soft
No	Low	M	Soft
No	Low	M	Soft
No	Low	M	Soft
No	Low	M	Soft
No	Low	M	Soft
No	Low	M	Soft
No	Low	M	Soft
No	Low	M	Soft
No	Low	M	Soft
No	Low	M	Soft
No	Low	M	Soft
No	Low	M	Soft
No	Low	M	Soft
No	Low	M	Soft
No	Low	M	Soft
No	Low	M	Soft
No	Low	M	Soft
No	Low	M	Soft
No	Low	M	Soft
No	Low	M	Soft
No	Low	M	Soft
No	Low	M	Soft
No	Low	M	Soft
No	Low	M	Soft
No	Low	M	Soft
No	Low	M	Soft
No	Low	M	Soft
No	Low	M	Soft
No	Low	M	Soft
No	Low	M	Soft
No	Low	M	Soft
No	Low	M	Soft
No	Low	M	Soft
No	Low	M	Soft
No	Low	M	Soft
No	Low	M	Soft
No	Low	M	Soft
No	Low	M	Soft
No	Low	M	Soft
No	Low	M	Soft
No	Low	M	Soft
No	Low	M	Soft
No	Low	M	Soft
No	Low	M	Soft
No	High	X	Hard
No	High	X	Hard
No	High	X	Hard
No	High	X	Hard
No	High	X	Hard
No	High	X	Hard
No	High	X	Hard
No	High	X	Hard
No	High	X	Hard
No	High	X	Hard
No	High	X	Hard
No	High	X	Hard
No	High	X	Hard
No	High	X	Hard
No	High	X	Hard
No	High	X	Hard
No	High	X	Hard
No	High	X	Hard
No	High	X	Hard
No	High	X	Hard
No	High	X	Hard
No	High	X	Hard
No	High	X	Hard
No	High	X	Hard
No	High	X	Hard
No	High	X	Hard
No	High	X	Hard
No	High	X	Hard
No	High	X	Hard
No	High	X	Hard
No	High	X	Hard
No	High	X	Hard
No	High	X	Hard
No	High	X	Hard
No	High	X	Hard
No	High	X	Hard
No	High	X	Hard
No	High	X	Hard
No	High	X	Hard
No	High	X	Hard
No	High	X	Hard
No	High	X	Hard
No	High	M	Hard
No	High	M	Hard
No	High	M	Hard
No	High	M	Hard
No	High	M	Hard
No	High	M	Hard
No	High	M	Hard
No	High	M	Hard
No	High	M	Hard
No	High	M	Hard
No	High	M	Hard
No	High	M	Hard
No	High	M	Hard
No	High	M	Hard
No	High	M	Hard
No	High	M	Hard
No	High	M	Hard
No	High	M	Hard
No	High	M	Hard
No	High	M	Hard
No	High	M	Hard
No	High	M	Hard
No	High	M	Hard
No	High	M	Hard
No	High	M	Hard
No	High	M	Hard
No	High	M	Hard
No	High	M	Hard
No	High	M	Hard
No	High	M	Hard
No	High	X	Medium
No	High	X	Medium
No	High	X	Medium
No	High	X	Medium
No	High	X	Medium
No	High	X	Medium
No	High	X	Medium
No	High	X	Medium
No	High	X	Medium
No	High	X	Medium
No	High	X	Medium
No	High	X	Medium
No	High	X	Medium
No	High	X	Medium
No	High	X	Medium
No	High	X	Medium
No	High	X	Medium
No	High	X	Medium
No	High	X	Medium
No	High	X	Medium
No	High	X	Medium
No	High	X	Medium
No	High	X	Medium
No	High	X	Medium
No	High	X	Medium
No	High	X	Medium
No	High	X	Medium
No	High	X	Medium
No	High	X	Medium
No	High	X	Medium
No	High	X	Medium
No	High	X	Medium
No	High	X	Medium
No	High	M	Medium
No	High	M	Medium
No	High	M	Medium
No	High	M	Medium
No	High	M	Medium
No	High	M	Medium
No	High	M	Medium
No	High	M	Medium
No	High	M	Medium
No	High	M	Medium
No	High	M	Medium
No	High	M	Medium
No	High	M	Medium
No	High	M	Medium
No	High	M	Medium
No	High	M	Medium
No	High	M	Medium
No	High	M	Medium
No	High	M	Medium
No	High	M	Medium
No	High	M	Medium
No	High	M	Medium
No	High	M	Medium
No	High	X	Soft
No	High	X	Soft
No	High	X	Soft
No	High	X	Soft
No	High	X	Soft
No	High	X	Soft
No	High	X	Soft
No	High	X	Soft
No	High	X	Soft
No	High	X	Soft
No	High	X	Soft
No	High	X	Soft
No	High	X	Soft
No	High	X	Soft
No	High	X	Soft
No	High	X	Soft
No	High	X	Soft
No	High	X	Soft
No	High	X	Soft
No	High	X	Soft
No	High	X	Soft
No	High	X	Soft
No	High	X	Soft
No	High	X	Soft
No	High	X	Soft
No	High	X	Soft
No	High	X	Soft
No	High	X	Soft
No	High	X	Soft
No	High	M	Soft
No	High	M	Soft
No	High	M	Soft
No	High	M	Soft
No	High	M	Soft
No	High	M	Soft
No	High	M	Soft
No	High	M	Soft
No	High	M	Soft
No	High	M	Soft
No	High	M	Soft
No	High	M	Soft
No	High	M	Soft
No	High	M	Soft
No	High	M	Soft
No	High	M	Soft
No	High	M	Soft
No	High	M	Soft
No	High	M	Soft
No	High	M	Soft
No	High	M	Soft
No	High	M	Soft
No	High	M	Soft
No	High	M	Soft
No	High	M	Soft
No	High	M	Soft
No	High	M	Soft
Yes	Low	X	Hard
Yes	Low	X	Hard
Yes	Low	X	Hard
Yes	Low	X	Hard
Yes	Low	X	Hard
Yes	Low	X	Hard
Yes	Low	X	Hard
Yes	Low	X	Hard
Yes	Low	X	Hard
Yes	Low	X	Hard
Yes	Low	X	Hard
Yes	Low	X	Hard
Yes	Low	X	Hard
Yes	Low	X	Hard
Yes	Low	X	Hard
Yes	Low	X	Hard
Yes	Low	X	Hard
Yes	Low	X	Hard
Yes	Low	X	Hard
Yes	Low	X	Hard
Yes	Low	X	Hard
Yes	Low	X	Hard
Yes	Low	X	Hard
Yes	Low	X	Hard
Yes	Low	X	Hard
Yes	Low	X	Hard
Yes	Low	X	Hard
Yes	Low	X	Hard
Yes	Low	X	Hard
Yes	Low	X	Hard
Yes	Low	X	Hard
Yes	Low	X	Hard
Yes	Low	X	Hard
Yes	Low	X	Hard
Yes	Low	X	Hard
Yes	Low	X	Hard
Yes	Low	X	Hard
Yes	Low	M	Hard
Yes	Low	M	Hard
Yes	Low	M	Hard
Yes	Low	M	Hard
Yes	Low	M	Hard
Yes	Low	M	Hard
Yes	Low	M	Hard
Yes	Low	M	Hard
Yes	Low	M	Hard
Yes	Low	M	Hard
Yes	Low	M	Hard
Yes	Low	M	Hard
Yes	Low	M	Hard
Yes	Low	M	Hard
Yes	Low	M	Hard
Yes	Low	M	Hard
Yes	Low	M	Hard
Yes	Low	M	Hard
Yes	Low	M	Hard
Yes	Low	M	Hard
Yes	Low	M	Hard
Yes	Low	M	Hard
Yes	Low	M	Hard
Yes	Low	M	Hard
Yes	Low	M	Hard
Yes	Low	M	Hard
Yes	Low	M	Hard
Yes	Low	M	Hard
Yes	Low	M	Hard
Yes	Low	M	Hard
Yes	Low	M	Hard
Yes	Low	M	Hard
Yes	Low	M	Hard
Yes	Low	M	Hard
Yes	Low	M	Hard
Yes	Low	M	Hard
Yes	Low	M	Hard
Yes	Low	M	Hard
Yes	Low	M	Hard
Yes	Low	M	Hard
Yes	Low	M	Hard
Yes	Low	M	Hard
Yes	Low	M	Hard
Yes	Low	M	Hard
Yes	Low	M	Hard
Yes	Low	M	Hard
Yes	Low	M	Hard
Yes	Low	M	Hard
Yes	Low	M	Hard
Yes	Low	M	Hard
Yes	Low	M	Hard
Yes	Low	M	Hard
Yes	Low	X	Medium
Yes	Low	X	Medium
Yes	Low	X	Medium
Yes	Low	X	Medium
Yes	Low	X	Medium
Yes	Low	X	Medium
Yes	Low	X	Medium
Yes	Low	X	Medium
Yes	Low	X	Medium
Yes	Low	X	Medium
Yes	Low	X	Medium
Yes	Low	X	Medium
Yes	Low	X	Medium
Yes	Low	X	Medium
Yes	Low	X	Medium
Yes	Low	X	Medium
Yes	Low	X	Medium
Yes	Low	X	Medium
Yes	Low	X	Medium
Yes	Low	X	Medium
Yes	Low	X	Medium
Yes	Low	X	Medium
Yes	Low	X	Medium
Yes	Low	X	Medium
Yes	Low	X	Medium
Yes	Low	X	Medium
Yes	Low	X	Medium
Yes	Low	X	Medium
Yes	Low	X	Medium
Yes	Low	X	Medium
Yes	Low	X	Medium
Yes	Low	X	Medium
Yes	Low	X	Medium
Yes	Low	X	Medium
Yes	Low	X	Medium
Yes	Low	X	Medium
Yes	Low	X	Medium
Yes	Low	X	Medium
Yes	Low	X	Medium
Yes	Low	X	Medium
Yes	Low	X	Medium
Yes	Low	X	Medium
Yes	Low	X	Medium
Yes	Low	X	Medium
Yes	Low	X	Medium
Yes	Low	X	Medium
Yes	Low	X	Medium
Yes	Low	M	Medium
Yes	Low	M	Medium
Yes	Low	M	Medium
Yes	Low	M	Medium
Yes	Low	M	Medium
Yes	Low	M	Medium
Yes	Low	M	Medium
Yes	Low	M	Medium
Yes	Low	M	Medium
Yes	Low	M	Medium
Yes	Low	M	Medium
Yes	Low	M	Medium
Yes	Low	M	Medium
Yes	Low	M	Medium
Yes	Low	M	Medium
Yes	Low	M	Medium
Yes	Low	M	Medium
Yes	Low	M	Medium
Yes	Low	M	Medium
Yes	Low	M	Medium
Yes	Low	M	Medium
Yes	Low	M	Medium
Yes	Low	M	Medium
Yes	Low	M	Medium
Yes	Low	M	Medium
Yes	Low	M	Medium
Yes	Low	M	Medium
Yes	Low	M	Medium
Yes	Low	M	Medium
Yes	Low	M	Medium
Yes	Low	M	Medium
Yes	Low	M	Medium
Yes	Low	M	Medium
Yes	Low	M	Medium
Yes	Low	M	Medium
Yes	Low	M	Medium
Yes	Low	M	Medium
Yes	Low	M	Medium
Yes	Low	M	Medium
Yes	Low	M	Medium
Yes	Low	M	Medium
Yes	Low	M	Medium
Yes	Low	M	Medium
Yes	Low	M	Medium
Yes	Low	M	Medium
Yes	Low	M	Medium
Yes	Low	M	Medium
Yes	Low	M	Medium
Yes	Low	M	Medium
Yes	Low	M	Medium
Yes	Low	M	Medium
Yes	Low	M	Medium
Yes	Low	M	Medium
Yes	Low	M	Medium
Yes	Low	M	Medium
Yes	Low	X	Soft
Yes	Low	X	Soft
Yes	Low	X	Soft
Yes	Low	X	Soft
Yes	Low	X	Soft
Yes	Low	X	Soft
Yes	Low	X	Soft
Yes	Low	X	Soft
Yes	Low	X	Soft
Yes	Low	X	Soft
Yes	Low	X	Soft
Yes	Low	X	Soft
Yes	Low	X	Soft
Yes	Low	X	Soft
Yes	Low	X	Soft
Yes	Low	X	Soft
Yes	Low	X	Soft
Yes	Low	X	Soft
Yes	Low	X	Soft
Yes	Low	X	Soft
Yes	Low	X	Soft
Yes	Low	X	Soft
Yes	Low	X	Soft
Yes	Low	X	Soft
Yes	Low	X	Soft
Yes	Low	X	Soft
Yes	Low	X	Soft
Yes	Low	X	Soft
Yes	Low	X	Soft
Yes	Low	X	Soft
Yes	Low	X	Soft
Yes	Low	X	Soft
Yes	Low	X	Soft
Yes	Low	X	Soft
Yes	Low	X	Soft
Yes	Low	X	Soft
Yes	Low	X	Soft
Yes	Low	X	Soft
Yes	Low	X	Soft
Yes	Low	X	Soft
Yes	Low	X	Soft
Yes	Low	X	Soft
Yes	Low	X	Soft
Yes	Low	X	Soft
Yes	Low	X	Soft
Yes	Low	X	Soft
Yes	Low	X	Soft
Yes	Low	X	Soft
Yes	Low	X	Soft
Yes	Low	X	Soft
Yes	Low	X	Soft
Yes	Low	X	Soft
Yes	Low	X	Soft
Yes	Low	X	Soft
Yes	Low	X	Soft
Yes	Low	X	Soft
Yes	Low	X	Soft
Yes	Low	M	Soft
Yes	Low	M	Soft
Yes	Low	M	Soft
Yes	Low	M	Soft
Yes	Low	M	Soft
Yes	Low	M	Soft
Yes	Low	M	Soft
Yes	Low	M	Soft
Yes	Low	M	Soft
Yes	Low	M	Soft
Yes	Low	M	Soft
Yes	Low	M	Soft
Yes	Low	M	Soft
Yes	Low	M	Soft
Yes	Low	M	Soft
Yes	Low	M	Soft
Yes	Low	M	Soft
Yes	Low	M	Soft
Yes	Low	M	Soft
Yes	Low	M	Soft
Yes	Low	M	Soft
Yes	Low	M	Soft
Yes	Low	M	Soft
Yes	Low	M	Soft
Yes	Low	M	Soft
Yes	Low	M	Soft
Yes	Low	M	Soft
Yes	Low	M	Soft
Yes	Low	M	Soft
Yes	Low	M	Soft
Yes	Low	M	Soft
Yes	Low	M	Soft
Yes	Low	M	Soft
Yes	Low	M	Soft
Yes	Low	M	Soft
Yes	Low	M	Soft
Yes	Low	M	Soft
Yes	Low	M	Soft
Yes	Low	M	Soft
Yes	Low	M	Soft
Yes	Low	M	Soft
Yes	Low	M	Soft
Yes	Low	M	Soft
Yes	Low	M	Soft
Yes	Low	M	Soft
Yes	Low	M	Soft
Yes	Low	M	Soft
Yes	Low	M	Soft
Yes	Low	M	Soft
Yes	High	X	Hard
Yes	High	X	Hard
Yes	High	X	Hard
Yes	High	X	Hard
Yes	High	X	Hard
Yes	High	X	Hard
Yes	High	X	Hard
Yes	High	X	Hard
Yes	High	X	Hard
Yes	High	X	Hard
Yes	High	X	Hard
Yes	High	X	Hard
Yes	High	X	Hard
Yes	High	X	Hard
Yes	High	X	Hard
Yes	High	X	Hard
Yes	High	X	Hard
Yes	High	X	Hard
Yes	High	X	Hard
Yes	High	X	Hard
Yes	High	X	Hard
Yes	High	X	Hard
Yes	High	X	Hard
Yes	High	X	Hard
Yes	High	M	Hard
Yes	High	M	Hard
Yes	High	M	Hard
Yes	High	M	Hard
Yes	High	M	Hard
Yes	High	M	Hard
Yes	High	M	Hard
Yes	High	M	Hard
Yes	High	M	Hard
Yes	High	M	Hard
Yes	High	M	Hard
Yes	High	M	Hard
Yes	High	M	Hard
Yes	High	M	Hard
Yes	High	M	Hard
Yes	High	M	Hard
Yes	High	M	Hard
Yes	High	M	Hard
Yes	High	M	Hard
Yes	High	M	Hard
Yes	High	M	Hard
Yes	High	M	Hard
Yes	High	M	Hard
Yes	High	M	Hard
Yes	High	M	Hard
Yes	High	M	Hard
Yes	High	M	Hard
Yes	High	M	Hard
Yes	High	M	Hard
Yes	High	M	Hard
Yes	High	M	Hard
Yes	High	M	Hard
Yes	High	M	Hard
Yes	High	M	Hard
Yes	High	M	Hard
Yes	High	M	Hard
Yes	High	M	Hard
Yes	High	M	Hard
Yes	High	M	Hard
Yes	High	M	Hard
Yes	High	M	Hard
Yes	High	M	Hard
Yes	High	M	Hard
Yes	High	X	Medium
Yes	High	X	Medium
Yes	High	X	Medium
Yes	High	X	Medium
Yes	High	X	Medium
Yes	High	X	Medium
Yes	High	X	Medium
Yes	High	X	Medium
Yes	High	X	Medium
Yes	High	X	Medium
Yes	High	X	Medium
Yes	High	X	Medium
Yes	High	X	Medium
Yes	High	X	Medium
Yes	High	X	Medium
Yes	High	X	Medium
Yes	High	X	Medium
Yes	High	X	Medium
Yes	High	X	Medium
Yes	High	X	Medium
Yes	High	X	Medium
Yes	High	X	Medium
Yes	High	X	Medium
Yes	High	M	Medium
Yes	High	M	Medium
Yes	High	M	Medium
Yes	High	M	Medium
Yes	High	M	Medium
Yes	High	M	Medium
Yes	High	M	Medium
Yes	High	M	Medium
Yes	High	M	Medium
Yes	High	M	Medium
Yes	High	M	Medium
Yes	High	M	Medium
Yes	High	M	Medium
Yes	High	M	Medium
Yes	High	M	Medium
Yes	High	M	Medium
Yes	High	M	Medium
Yes	High	M	Medium
Yes	High	M	Medium
Yes	High	M	Medium
Yes	High	M	Medium
Yes	High	M	Medium
Yes	High	M	Medium
Yes	High	M	Medium
Yes	High	M	Medium
Yes	High	M	Medium
Yes	High	M	Medium
Yes	High	M	Medium
Yes	High	M	Medium
Yes	High	M	Medium
Yes	High	M	Medium
Yes	High	M	Medium
Yes	High	M	Medium
Yes	High	M	Medium
Yes	High	M	Medium
Yes	High	M	Medium
Yes	High	M	Medium
Yes	High	M	Medium
Yes	High	M	Medium
Yes	High	M	Medium
Yes	High	M	Medium
Yes	High	M	Medium
Yes	High	M	Medium
Yes	High	M	Medium
Yes	High	M	Medium
Yes	High	M	Medium
Yes	High	M	Medium
Yes	High	X	Soft
Yes	High	X	Soft
Yes	High	X	Soft
Yes	High	X	Soft
Yes	High	X	Soft
Yes	High	X	Soft
Yes	High	X	Soft
Yes	High	X	Soft
Yes	High	X	Soft
Yes	High	X	Soft
Yes	High	X	Soft
Yes	High	X	Soft
Yes	High	X	Soft
Yes	High	X	Soft
Yes	High	X	Soft
Yes	High	X	Soft
Yes	High	X	Soft
Yes	High	X	Soft
Yes	High	X	Soft
Yes	High	M	Soft
Yes	High	M	Soft
Yes	High	M	Soft
Yes	High	M	Soft
Yes	High	M	Soft
Yes	High	M	Soft
Yes	High	M	Soft
Yes	High	M	Soft
Yes	High	M	Soft
Yes	High	M	Soft
Yes	High	M	Soft
Yes	High	M	Soft
Yes	High	M	Soft
Yes	High	M	Soft
Yes	High	M	Soft
Yes	High	M	Soft
Yes	High	M	Soft
Yes	High	M	Soft
Yes	High	M	Soft
Yes	High	M	Soft
Yes	High	M	Soft
Yes	High	M	Soft
Yes	High	M	Soft
Yes	High	M	Soft
Yes	High	M	Soft
Yes	High	M	Soft
Yes	High	M	Soft
Yes	High	M	Soft
Yes	High	M	Soft
