M-user	Temperature	WaterSoftness	Preference
No	Low	Soft	X
No	Low	Soft	X
No	Low	Soft	X
No	Low	Soft	X
No	Low	Soft	X
No	Low	Soft	X
No	Low	Soft	X
No	Low	Soft	X
No	Low	Soft	X
No	Low	Soft	X
No	Low	Soft	X
No	Low	Soft	X
No	Low	Soft	X
No	Low	Soft	X
No	Low	Soft	X
No	Low	Soft	X
No	Low	Soft	X
No	Low	Soft	X
No	Low	Soft	X
No	Low	Soft	X
No	Low	Soft	X
No	Low	Soft	X
No	Low	Soft	X
No	Low	Soft	X
No	Low	Soft	X
No	Low	Soft	X
No	Low	Soft	X
No	Low	Soft	X
No	Low	Soft	X
No	Low	Soft	X
No	Low	Soft	X
No	Low	Soft	X
No	Low	Soft	X
No	Low	Soft	X
No	Low	Soft	X
No	Low	Soft	X
No	Low	Soft	M
No	Low	Soft	M
No	Low	Soft	M
No	Low	Soft	M
No	Low	Soft	M
No	Low	Soft	M
No	Low	Soft	M
No	Low	Soft	M
No	Low	Soft	M
No	Low	Soft	M
No	Low	Soft	M
No	Low	Soft	M
No	Low	Soft	M
No	Low	Soft	M
No	Low	Soft	M
No	Low	Soft	M
No	Low	Soft	M
No	Low	Soft	M
No	Low	Soft	M
No	Low	Soft	M
No	Low	Soft	M
No	Low	Soft	M
No	Low	Soft	M
No	Low	Soft	M
No	Low	Soft	M
No	Low	Soft	M
No	Low	Soft	M
No	Low	Soft	M
No	Low	Soft	M
No	Low	Soft	M
No	Low	Soft	M
No	Low	Soft	M
No	Low	Soft	M
No	Low	Soft	M
No	Low	Soft	M
No	Low	Soft	M
No	Low	Soft	M
No	Low	Soft	M
No	Low	Soft	M
No	Low	Soft	M
No	Low	Soft	M
No	Low	Soft	M
No	Low	Soft	M
No	Low	Soft	M
No	Low	Soft	M
No	Low	Soft	M
No	Low	Soft	M
No	Low	Soft	M
No	Low	Soft	M
No	Low	Soft	M
No	Low	Soft	M
No	Low	Soft	M
No	Low	Soft	M
No	High	Hard	X
No	High	Hard	X
No	High	Hard	X
No	High	Hard	X
No	High	Hard	X
No	High	Hard	X
No	High	Hard	X
No	High	Hard	X
No	High	Hard	X
No	High	Hard	X
No	High	Hard	X
No	High	Hard	X
No	High	Hard	X
No	High	Hard	X
No	High	Hard	X
No	High	Hard	X
No	High	Hard	X
No	High	Hard	X
No	High	Hard	X
No	High	Hard	X
No	High	Hard	X
No	High	Hard	X
No	High	Hard	X
No	High	Hard	X
No	High	Hard	X
No	High	Hard	X
No	High	Hard	X
No	High	Hard	X
No	High	Hard	X
No	High	Hard	X
No	High	Hard	X
No	High	Hard	X
No	High	Hard	X
No	High	Hard	X
No	High	Hard	X
No	High	Hard	X
No	High	Hard	X
No	High	Hard	X
No	High	Hard	X
No	High	Hard	X
No	High	Hard	X
No	High	Hard	X
No	High	Hard	M
No	High	Hard	M
No	High	Hard	M
No	High	Hard	M
No	High	Hard	M
No	High	Hard	M
No	High	Hard	M
No	High	Hard	M
No	High	Hard	M
No	High	Hard	M
No	High	Hard	M
No	High	Hard	M
No	High	Hard	M
No	High	Hard	M
No	High	Hard	M
No	High	Hard	M
No	High	Hard	M
No	High	Hard	M
No	High	Hard	M
No	High	Hard	M
No	High	Hard	M
No	High	Hard	M
No	High	Hard	M
No	High	Hard	M
No	High	Hard	M
No	High	Hard	M
No	High	Hard	M
No	High	Hard	M
No	High	Hard	M
No	High	Hard	M
No	High	Medium	X
No	High	Medium	X
No	High	Medium	X
No	High	Medium	X
No	High	Medium	X
No	High	Medium	X
No	High	Medium	X
No	High	Medium	X
No	High	Medium	X
No	High	Medium	X
No	High	Medium	X
No	High	Medium	X
No	High	Medium	X
No	High	Medium	X
No	High	Medium	X
No	High	Medium	X
No	High	Medium	X
No	High	Medium	X
No	High	Medium	X
No	High	Medium	X
No	High	Medium	X
No	High	Medium	X
No	High	Medium	X
No	High	Medium	X
No	High	Medium	X
No	High	Medium	X
No	High	Medium	X
No	High	Medium	X
No	High	Medium	X
No	High	Medium	X
No	High	Medium	X
No	High	Medium	X
No	High	Medium	X
No	High	Medium	M
No	High	Medium	M
No	High	Medium	M
No	High	Medium	M
No	High	Medium	M
No	High	Medium	M
No	High	Medium	M
No	High	Medium	M
No	High	Medium	M
No	High	Medium	M
No	High	Medium	M
No	High	Medium	M
No	High	Medium	M
No	High	Medium	M
No	High	Medium	M
No	High	Medium	M
No	High	Medium	M
No	High	Medium	M
No	High	Medium	M
No	High	Medium	M
No	High	Medium	M
No	High	Medium	M
No	High	Medium	M
No	High	Soft	X
No	High	Soft	X
No	High	Soft	X
No	High	Soft	X
No	High	Soft	X
No	High	Soft	X
No	High	Soft	X
No	High	Soft	X
No	High	Soft	X
No	High	Soft	X
No	High	Soft	X
No	High	Soft	X
No	High	Soft	X
No	High	Soft	X
No	High	Soft	X
No	High	Soft	X
No	High	Soft	X
No	High	Soft	X
No	High	Soft	X
No	High	Soft	X
No	High	Soft	X
No	High	Soft	X
No	High	Soft	X
No	High	Soft	X
No	High	Soft	X
No	High	Soft	X
No	High	Soft	X
No	High	Soft	X
No	High	Soft	X
No	High	Soft	M
No	High	Soft	M
No	High	Soft	M
No	High	Soft	M
No	High	Soft	M
No	High	Soft	M
No	High	Soft	M
No	High	Soft	M
No	High	Soft	M
No	High	Soft	M
No	High	Soft	M
No	High	Soft	M
No	High	Soft	M
No	High	Soft	M
No	High	Soft	M
No	High	Soft	M
No	High	Soft	M
No	High	Soft	M
No	High	Soft	M
No	High	Soft	M
No	High	Soft	M
No	High	Soft	M
No	High	Soft	M
No	High	Soft	M
No	High	Soft	M
No	High	Soft	M
No	High	Soft	M
Yes	Low	Hard	X
Yes	Low	Hard	X
Yes	Low	Hard	X
Yes	Low	Hard	X
Yes	Low	Hard	X
Yes	Low	Hard	X
Yes	Low	Hard	X
Yes	Low	Hard	X
Yes	Low	Hard	X
Yes	Low	Hard	X
Yes	Low	Hard	X
Yes	Low	Hard	X
Yes	Low	Hard	X
Yes	Low	Hard	X
Yes	Low	Hard	X
Yes	Low	Hard	X
Yes	Low	Hard	X
Yes	Low	Hard	X
Yes	Low	Hard	X
Yes	Low	Hard	X
Yes	Low	Hard	X
Yes	Low	Hard	X
Yes	Low	Hard	X
Yes	Low	Hard	X
Yes	Low	Hard	X
Yes	Low	Hard	X
Yes	Low	Hard	X
Yes	Low	Hard	X
Yes	Low	Hard	X
Yes	Low	Hard	X
Yes	Low	Hard	X
Yes	Low	Hard	X
Yes	Low	Hard	X
Yes	Low	Hard	X
Yes	Low	Hard	X
Yes	Low	Hard	X
Yes	Low	Hard	X
Yes	Low	Hard	M
Yes	Low	Hard	M
Yes	Low	Hard	M
Yes	Low	Hard	M
Yes	Low	Hard	M
Yes	Low	Hard	M
Yes	Low	Hard	M
Yes	Low	Hard	M
Yes	Low	Hard	M
Yes	Low	Hard	M
Yes	Low	Hard	M
Yes	Low	Hard	M
Yes	Low	Hard	M
Yes	Low	Hard	M
Yes	Low	Hard	M
Yes	Low	Hard	M
Yes	Low	Hard	M
Yes	Low	Hard	M
Yes	Low	Hard	M
Yes	Low	Hard	M
Yes	Low	Hard	M
Yes	Low	Hard	M
Yes	Low	Hard	M
Yes	Low	Hard	M
Yes	Low	Hard	M
Yes	Low	Hard	M
Yes	Low	Hard	M
Yes	Low	Hard	M
Yes	Low	Hard	M
Yes	Low	Hard	M
Yes	Low	Hard	M
Yes	Low	Hard	M
Yes	Low	Hard	M
Yes	Low	Hard	M
Yes	Low	Hard	M
Yes	Low	Hard	M
Yes	Low	Hard	M
Yes	Low	Hard	M
Yes	Low	Hard	M
Yes	Low	Hard	M
Yes	Low	Hard	M
Yes	Low	Hard	M
Yes	Low	Hard	M
Yes	Low	Hard	M
Yes	Low	Hard	M
Yes	Low	Hard	M
Yes	Low	Hard	M
Yes	Low	Hard	M
Yes	Low	Hard	M
Yes	Low	Hard	M
Yes	Low	Hard	M
Yes	Low	Hard	M
Yes	Low	Medium	X
Yes	Low	Medium	X
Yes	Low	Medium	X
Yes	Low	Medium	X
Yes	Low	Medium	X
Yes	Low	Medium	X
Yes	Low	Medium	X
Yes	Low	Medium	X
Yes	Low	Medium	X
Yes	Low	Medium	X
Yes	Low	Medium	X
Yes	Low	Medium	X
Yes	Low	Medium	X
Yes	Low	Medium	X
Yes	Low	Medium	X
Yes	Low	Medium	X
Yes	Low	Medium	X
Yes	Low	Medium	X
Yes	Low	Medium	X
Yes	Low	Medium	X
Yes	Low	Medium	X
Yes	Low	Medium	X
Yes	Low	Medium	X
Yes	Low	Medium	X
Yes	Low	Medium	X
Yes	Low	Medium	X
Yes	Low	Medium	X
Yes	Low	Medium	X
Yes	Low	Medium	X
Yes	Low	Medium	X
Yes	Low	Medium	X
Yes	Low	Medium	X
Yes	Low	Medium	X
Yes	Low	Medium	X
Yes	Low	Medium	X
Yes	Low	Medium	X
Yes	Low	Medium	X
Yes	Low	Medium	X
Yes	Low	Medium	X
Yes	Low	Medium	X
Yes	Low	Medium	X
Yes	Low	Medium	X
Yes	Low	Medium	X
Yes	Low	Medium	X
Yes	Low	Medium	X
Yes	Low	Medium	X
Yes	Low	Medium	X
Yes	Low	Medium	M
Yes	Low	Medium	M
Yes	Low	Medium	M
Yes	Low	Medium	M
Yes	Low	Medium	M
Yes	Low	Medium	M
Yes	Low	Medium	M
Yes	Low	Medium	M
Yes	Low	Medium	M
Yes	Low	Medium	M
Yes	Low	Medium	M
Yes	Low	Medium	M
Yes	Low	Medium	M
Yes	Low	Medium	M
Yes	Low	Medium	M
Yes	Low	Medium	M
Yes	Low	Medium	M
Yes	Low	Medium	M
Yes	Low	Medium	M
Yes	Low	Medium	M
Yes	Low	Medium	M
Yes	Low	Medium	M
Yes	Low	Medium	M
Yes	Low	Medium	M
Yes	Low	Medium	M
Yes	Low	Medium	M
Yes	Low	Medium	M
Yes	Low	Medium	M
Yes	Low	Medium	M
Yes	Low	Medium	M
Yes	Low	Medium	M
Yes	Low	Medium	M
Yes	Low	Medium	M
Yes	Low	Medium	M
Yes	Low	Medium	M
Yes	Low	Medium	M
Yes	Low	Medium	M
Yes	Low	Medium	M
Yes	Low	Medium	M
Yes	Low	Medium	M
Yes	Low	Medium	M
Yes	Low	Medium	M
Yes	Low	Medium	M
Yes	Low	Medium	M
Yes	Low	Medium	M
Yes	Low	Medium	M
Yes	Low	Medium	M
Yes	Low	Medium	M
Yes	Low	Medium	M
Yes	Low	Medium	M
Yes	Low	Medium	M
Yes	Low	Medium	M
Yes	Low	Medium	M
Yes	Low	Medium	M
Yes	Low	Medium	M
Yes	Low	Soft	X
Yes	Low	Soft	X
Yes	Low	Soft	X
Yes	Low	Soft	X
Yes	Low	Soft	X
Yes	Low	Soft	X
Yes	Low	Soft	X
Yes	Low	Soft	X
Yes	Low	Soft	X
Yes	Low	Soft	X
Yes	Low	Soft	X
Yes	Low	Soft	X
Yes	Low	Soft	X
Yes	Low	Soft	X
Yes	Low	Soft	X
Yes	Low	Soft	X
Yes	Low	Soft	X
Yes	Low	Soft	X
Yes	Low	Soft	X
Yes	Low	Soft	X
Yes	Low	Soft	X
Yes	Low	Soft	X
Yes	Low	Soft	X
Yes	Low	Soft	X
Yes	Low	Soft	X
Yes	Low	Soft	X
Yes	Low	Soft	X
Yes	Low	Soft	X
Yes	Low	Soft	X
Yes	Low	Soft	X
Yes	Low	Soft	X
Yes	Low	Soft	X
Yes	Low	Soft	X
Yes	Low	Soft	X
Yes	Low	Soft	X
Yes	Low	Soft	X
Yes	Low	Soft	X
Yes	Low	Soft	X
Yes	Low	Soft	X
Yes	Low	Soft	X
Yes	Low	Soft	X
Yes	Low	Soft	X
Yes	Low	Soft	X
Yes	Low	Soft	X
Yes	Low	Soft	X
Yes	Low	Soft	X
Yes	Low	Soft	X
Yes	Low	Soft	X
Yes	Low	Soft	X
Yes	Low	Soft	X
Yes	Low	Soft	X
Yes	Low	Soft	X
Yes	Low	Soft	X
Yes	Low	Soft	X
Yes	Low	Soft	X
Yes	Low	Soft	X
Yes	Low	Soft	X
Yes	Low	Soft	M
Yes	Low	Soft	M
Yes	Low	Soft	M
Yes	Low	Soft	M
Yes	Low	Soft	M
Yes	Low	Soft	M
Yes	Low	Soft	M
Yes	Low	Soft	M
Yes	Low	Soft	M
Yes	Low	Soft	M
Yes	Low	Soft	M
Yes	Low	Soft	M
Yes	Low	Soft	M
Yes	Low	Soft	M
Yes	Low	Soft	M
Yes	Low	Soft	M
Yes	Low	Soft	M
Yes	Low	Soft	M
Yes	Low	Soft	M
Yes	Low	Soft	M
Yes	Low	Soft	M
Yes	Low	Soft	M
Yes	Low	Soft	M
Yes	Low	Soft	M
Yes	Low	Soft	M
Yes	Low	Soft	M
Yes	Low	Soft	M
Yes	Low	Soft	M
Yes	Low	Soft	M
Yes	Low	Soft	M
Yes	Low	Soft	M
Yes	Low	Soft	M
Yes	Low	Soft	M
Yes	Low	Soft	M
Yes	Low	Soft	M
Yes	Low	Soft	M
Yes	Low	Soft	M
Yes	Low	Soft	M
Yes	Low	Soft	M
Yes	Low	Soft	M
Yes	Low	Soft	M
Yes	Low	Soft	M
Yes	Low	Soft	M
Yes	Low	Soft	M
Yes	Low	Soft	M
Yes	Low	Soft	M
Yes	Low	Soft	M
Yes	Low	Soft	M
Yes	Low	Soft	M
Yes	High	Hard	X
Yes	High	Hard	X
Yes	High	Hard	X
Yes	High	Hard	X
Yes	High	Hard	X
Yes	High	Hard	X
Yes	High	Hard	X
Yes	High	Hard	X
Yes	High	Hard	X
Yes	High	Hard	X
Yes	High	Hard	X
Yes	High	Hard	X
Yes	High	Hard	X
Yes	High	Hard	X
Yes	High	Hard	X
Yes	High	Hard	X
Yes	High	Hard	X
Yes	High	Hard	X
Yes	High	Hard	X
Yes	High	Hard	X
Yes	High	Hard	X
Yes	High	Hard	X
Yes	High	Hard	X
Yes	High	Hard	X
Yes	High	Hard	M
Yes	High	Hard	M
Yes	High	Hard	M
Yes	High	Hard	M
Yes	High	Hard	M
Yes	High	Hard	M
Yes	High	Hard	M
Yes	High	Hard	M
Yes	High	Hard	M
Yes	High	Hard	M
Yes	High	Hard	M
Yes	High	Hard	M
Yes	High	Hard	M
Yes	High	Hard	M
Yes	High	Hard	M
Yes	High	Hard	M
Yes	High	Hard	M
Yes	High	Hard	M
Yes	High	Hard	M
Yes	High	Hard	M
Yes	High	Hard	M
Yes	High	Hard	M
Yes	High	Hard	M
Yes	High	Hard	M
Yes	High	Hard	M
Yes	High	Hard	M
Yes	High	Hard	M
Yes	High	Hard	M
Yes	High	Hard	M
Yes	High	Hard	M
Yes	High	Hard	M
Yes	High	Hard	M
Yes	High	Hard	M
Yes	High	Hard	M
Yes	High	Hard	M
Yes	High	Hard	M
Yes	High	Hard	M
Yes	High	Hard	M
Yes	High	Hard	M
Yes	High	Hard	M
Yes	High	Hard	M
Yes	High	Hard	M
Yes	High	Hard	M
Yes	High	Medium	X
Yes	High	Medium	X
Yes	High	Medium	X
Yes	High	Medium	X
Yes	High	Medium	X
Yes	High	Medium	X
Yes	High	Medium	X
Yes	High	Medium	X
Yes	High	Medium	X
Yes	High	Medium	X
Yes	High	Medium	X
Yes	High	Medium	X
Yes	High	Medium	X
Yes	High	Medium	X
Yes	High	Medium	X
Yes	High	Medium	X
Yes	High	Medium	X
Yes	High	Medium	X
Yes	High	Medium	X
Yes	High	Medium	X
Yes	High	Medium	X
Yes	High	Medium	X
Yes	High	Medium	X
Yes	High	Medium	M
Yes	High	Medium	M
Yes	High	Medium	M
Yes	High	Medium	M
Yes	High	Medium	M
Yes	High	Medium	M
Yes	High	Medium	M
Yes	High	Medium	M
Yes	High	Medium	M
Yes	High	Medium	M
Yes	High	Medium	M
Yes	High	Medium	M
Yes	High	Medium	M
Yes	High	Medium	M
Yes	High	Medium	M
Yes	High	Medium	M
Yes	High	Medium	M
Yes	High	Medium	M
Yes	High	Medium	M
Yes	High	Medium	M
Yes	High	Medium	M
Yes	High	Medium	M
Yes	High	Medium	M
Yes	High	Medium	M
Yes	High	Medium	M
Yes	High	Medium	M
Yes	High	Medium	M
Yes	High	Medium	M
Yes	High	Medium	M
Yes	High	Medium	M
Yes	High	Medium	M
Yes	High	Medium	M
Yes	High	Medium	M
Yes	High	Medium	M
Yes	High	Medium	M
Yes	High	Medium	M
Yes	High	Medium	M
Yes	High	Medium	M
Yes	High	Medium	M
Yes	High	Medium	M
Yes	High	Medium	M
Yes	High	Medium	M
Yes	High	Medium	M
Yes	High	Medium	M
Yes	High	Medium	M
Yes	High	Medium	M
Yes	High	Medium	M
Yes	High	Soft	X
Yes	High	Soft	X
Yes	High	Soft	X
Yes	High	Soft	X
Yes	High	Soft	X
Yes	High	Soft	X
Yes	High	Soft	X
Yes	High	Soft	X
Yes	High	Soft	X
Yes	High	Soft	X
Yes	High	Soft	X
Yes	High	Soft	X
Yes	High	Soft	X
Yes	High	Soft	X
Yes	High	Soft	X
Yes	High	Soft	X
Yes	High	Soft	X
Yes	High	Soft	X
Yes	High	Soft	X
Yes	High	Soft	M
Yes	High	Soft	M
Yes	High	Soft	M
Yes	High	Soft	M
Yes	High	Soft	M
Yes	High	Soft	M
Yes	High	Soft	M
Yes	High	Soft	M
Yes	High	Soft	M
Yes	High	Soft	M
Yes	High	Soft	M
Yes	High	Soft	M
Yes	High	Soft	M
Yes	High	Soft	M
Yes	High	Soft	M
Yes	High	Soft	M
Yes	High	Soft	M
Yes	High	Soft	M
Yes	High	Soft	M
Yes	High	Soft	M
Yes	High	Soft	M
Yes	High	Soft	M
Yes	High	Soft	M
Yes	High	Soft	M
Yes	High	Soft	M
Yes	High	Soft	M
Yes	High	Soft	M
Yes	High	Soft	M
Yes	High	Soft	M
